Designator,Quantity,Value,Footprint,,,,LCSC Part#
,,,,,,,
"C1, C2, ",2,10u,805,,,,
,,,,,,,
"C3, ",1,10u,603,,,,
,,,,,,,
"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, ",10,100nf,402,,,,
,,,,,,,
"C14, ",1,10n,402,,,,
,,,,,,,
"C15, C16, ",2,2.2u,603,,,,
,,,,,,,
"C17, C18, ",2,12p,402,,,,
,,,,,,,
"D1, ",1,B5819W,SOD-123,,,,
,,,,,,,
"D2, D3, ",2,Red,603,,,,
,,,,,,,
"F1, ",1,500mA,603,,,,
,,,,,,,
"FB1, FB2, ",2,100 @ 100 MHz,805,,,,
,,,,,,,
"HSE1, ",1,16MHz,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,
,,,,,,,
"R1, R7, ",2,2k2,603,,,,
,,,,,,,
"R2, R3, ",2,10k,402,,,,
,,,,,,,
"R4, R5, ",2,2k2,402,,,,
,,,,,,,
"R6, ",1,220,402,,,,
,,,,,,,
"U1, ",1,AMS1117-3.3,SOT-223-3,,,,
,,,,,,,
"U2, ",1,STM32F405RGTx,Package_QFP:LQFP-64_10x10mm_P0.5mm,,,,
